fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
PagineGialle,Hotel/B&B,Varese,Hotel Visconti,"Via Gran Paradiso, 16 - 21010 Cardano al Campo (VA)",0331 733196,,,
PagineGialle,Hotel/B&B,Varese,Le Due Corti,"Piazza Vittoria, 12 - 22100 Como (CO)",031 5375150,,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Via Ballarini Francesco, 12 - 22100 Como (CO)",,,,
PagineGialle,Hotel/B&B,Varese,Maria,"Via Risorgimento, 64 - 22070 Luisago (CO)",031 920370,,,
PagineGialle,Hotel/B&B,Varese,Posta,"Piazza San Rocco, 5 - 22010 Moltrasio (CO)","031 290444, 331 2977316",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Piazza S. Rocco, 5 - 22010 Moltrasio (CO)",,,,
PagineGialle,Hotel/B&B,Varese,Como030,"Via Mentana, 28 - 22100 Como (CO)",031 266173,,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Via Roma, 56 - 21018 Sesto Calende (VA)",,,,
PagineGialle,Hotel/B&B,Varese,La Locanda,"Piazza Giuseppe Garibaldi, 61 - 21062 Cadrezzate con Osmate (VA)",0331 910003,,,
PagineGialle,Hotel/B&B,Varese,Soraya S.r.l.,"Viale Baracca Francesco, 18 - 28041 Arona (NO)",0322 248686,,,
PagineGialle,Hotel/B&B,Varese,Tre Re,"Piazza Garibaldi Giuseppe, 25 - 21018 Sesto Calende (VA)","031 265374, 031 265374",,,
PagineGialle,Hotel/B&B,Varese,Locanda Sant'Ambrogio,Via Cesare Battisti 995 - 21040 Cislago (VA),0522 327526,,,
PagineGialle,Hotel/B&B,Varese,54 Cat's Guesthouse,"Via Cattaneo Carlo, 54 - 21013 Gallarate (VA)",338 4301999,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Vittorio Emanuele II, 73 - 22100 Como (CO)",,,,
PagineGialle,Hotel/B&B,Varese,73 Boutique Hotel,"Via Vittorio Emanuele II, 73/A - 22100 Como (CO)","031 6126904, 031 0353760, 031 0353760",,,
